year,state,county,temp_gs,pcpn_gs,TMAX_AVG_GS,PREC_GS,temp_diff,pcpn_diff,abs_temp_diff,abs_pcpn_diff
1987,17,3,29.29629629629629,471.1699999999999,29.334535519125684,470.97,-0.03823922282939307,0.19999999999987494,0.03823922282939307,0.19999999999987494
1988,17,3,28.60185185185185,540.512,28.63688524590165,540.68,-0.03503339404979755,-0.16800000000000637,0.03503339404979755,0.16800000000000637
1989,17,3,26.48148148148148,576.834,26.509999999999994,577.0100000000001,-0.028518518518513503,-0.17600000000015825,0.028518518518513503,0.17600000000015825
1990,17,3,27.02777777777777,587.248,27.053060109289618,587.38,-0.025282331511846223,-0.13199999999994816,0.025282331511846223,0.13199999999994816
1991,17,3,28.259259259259256,510.54,28.28306010928961,510.46,-0.023800850030355036,0.08000000000004093,0.023800850030355036,0.08000000000004093
1992,17,3,26.53703703703704,518.668,26.573879781420768,518.56,-0.036842744383726256,0.10800000000006094,0.036842744383726256,0.10800000000006094
1993,17,3,27.009259259259256,697.4839999999999,27.057704918032783,697.5300000000001,-0.048445658773527356,-0.0460000000001628,0.048445658773527356,0.0460000000001628
1994,17,3,27.43518518518518,559.5619999999999,27.445245901639343,559.6400000000001,-0.010060716454162844,-0.07800000000020191,0.010060716454162844,0.07800000000020191
1995,17,3,27.62037037037037,671.8299999999999,27.64983606557377,671.78,-0.029465695203398923,0.049999999999954525,0.029465695203398923,0.049999999999954525
1996,17,3,27.07407407407408,637.794,27.11923497267759,637.8299999999999,-0.045160898603509025,-0.03599999999994452,0.045160898603509025,0.03599999999994452
1997,17,3,26.28703703703704,637.7939999999999,26.32688524590164,637.68,-0.03984820886459772,0.11399999999991905,0.03984820886459772,0.11399999999991905
1998,17,3,28.34259259259259,737.362,28.35655737704918,737.5800000000002,-0.013964784456589996,-0.21800000000018827,0.013964784456589996,0.21800000000018827
1999,17,3,28.472222222222214,458.216,28.508142076502736,458.48,-0.03591985428052169,-0.26400000000001,0.03591985428052169,0.26400000000001
2000,17,3,27.58333333333333,546.0999999999999,27.61901639344262,545.73,-0.03568306010929234,0.36999999999989086,0.03568306010929234,0.36999999999989086
2001,17,3,28.055555555555557,610.362,28.08907103825137,610.01,-0.03351548269581173,0.35199999999997544,0.03351548269581173,0.35199999999997544
2002,17,3,28.35185185185185,776.2239999999999,28.36792349726776,776.14,-0.01607164541590933,0.08399999999994634,0.01607164541590933,0.08399999999994634
2003,17,3,26.972222222222214,828.0400000000001,27.000928961748635,828.3200000000002,-0.028706739526420222,-0.2800000000000864,0.028706739526420222,0.2800000000000864
2004,17,3,27.240740740740744,505.206,27.25743169398907,500.77,-0.016690953248325258,4.4360000000000355,0.016690953248325258,4.4360000000000355
2005,17,3,28.37037037037037,655.5740000000001,28.388579234972678,655.64,-0.01820886460230753,-0.06599999999991724,0.01820886460230753,0.06599999999991724
2006,17,3,27.88888888888889,713.9939999999999,27.908306010928968,713.7600000000001,-0.019417122040078283,0.23399999999980992,0.019417122040078283,0.23399999999980992
2007,17,3,29.064814814814813,421.894,29.09060109289617,421.65,-0.025786278081355363,0.2440000000000282,0.025786278081355363,0.2440000000000282
2008,17,3,27.175925925925924,644.906,27.19907103825137,645.06,-0.023145112325444472,-0.15399999999999636,0.023145112325444472,0.15399999999999636
2009,17,3,26.90740740740741,671.322,26.909453551912573,671.2199999999999,-0.0020461445051651594,0.10200000000008913,0.0020461445051651594,0.10200000000008913
2010,17,3,29.592592592592595,527.812,29.60770491803278,527.87,-0.01511232544018526,-0.057999999999992724,0.01511232544018526,0.057999999999992724
2011,17,3,28.11111111111111,1005.586,28.138961748633875,1005.48,-0.027850637522764288,0.10599999999999454,0.027850637522764288,0.10599999999999454
2012,17,3,29.935185185185187,334.01,29.979672131147534,333.98,-0.04448694596234759,0.029999999999972715,0.04448694596234759,0.029999999999972715
2013,17,3,27.018518518518515,573.278,27.037814207650275,573.28,-0.019295689131759275,-0.0019999999999527063,0.019295689131759275,0.0019999999999527063
2014,17,3,27.33333333333333,631.6980000000001,27.34857923497268,631.87,-0.015245901639350024,-0.17199999999991178,0.015245901639350024,0.17199999999991178
2015,17,3,27.851851851851848,694.436,27.871038251366123,694.6600000000001,-0.019186399514275365,-0.22400000000004638,0.019186399514275365,0.22400000000004638
2016,17,3,28.361111111111114,781.558,28.37245901639344,781.35,-0.011347905282324433,0.20799999999997,0.011347905282324433,0.20799999999997
2017,17,3,28.03703703703704,601.472,28.05502732240437,601.65,-0.01799028536732905,-0.17799999999999727,0.01799028536732905,0.17799999999999727
2018,17,3,28.314814814814813,688.086,28.36868852459017,684.8599999999999,-0.053873709775356105,3.2260000000001128,0.053873709775356105,3.2260000000001128
2019,17,3,28.398148148148152,811.276,28.332295081967214,811.1200000000001,0.06585306618093867,0.15599999999983538,0.06585306618093867,0.15599999999983538
2020,17,3,27.0,623.57,26.98879781420765,564.6,0.01120218579234944,58.97000000000003,0.01120218579234944,58.97000000000003
2021,17,3,27.63888888888889,578.612,27.607158469945357,593.08,0.0317304189435319,-14.468000000000075,0.0317304189435319,14.468000000000075
2022,17,3,28.314814814814813,515.874,28.269508196721315,502.11000000000007,0.04530661809349823,13.763999999999953,0.04530661809349823,13.763999999999953
2023,17,3,28.009259259259256,706.6279999999999,28.280437158469944,514.53,-0.2711778992106879,192.09799999999996,0.2711778992106879,192.09799999999996
2024,17,3,28.370370370370367,771.652,28.39584699453552,771.47,-0.025476624165154504,0.18200000000001637,0.025476624165154504,0.18200000000001637
2025,17,3,27.83333333333333,811.0219999999998,27.65863387978142,801.67,0.1746994535519093,9.351999999999862,0.1746994535519093,9.351999999999862
1951,17,5,25.342592592592595,612.14,25.379562841530056,612.1299999999999,-0.03697024893746104,0.010000000000104592,0.03697024893746104,0.010000000000104592
1952,17,5,27.79629629629629,466.598,27.82054644808743,466.4500000000001,-0.024250151791139984,0.14799999999991087,0.024250151791139984,0.14799999999991087
1953,17,5,28.14814814814815,354.33,28.16196721311475,354.38000000000005,-0.013819064966600791,-0.05000000000006821,0.013819064966600791,0.05000000000006821
1954,17,5,29.14814814814815,434.594,29.15426229508197,434.71,-0.006114146933821729,-0.11599999999998545,0.006114146933821729,0.11599999999998545
1955,17,5,28.09259259259259,484.886,28.13491803278689,485.07,-0.04232544019429696,-0.18399999999996908,0.04232544019429696,0.18399999999996908
1956,17,5,26.87037037037037,479.8059999999999,26.902240437158472,480.0,-0.03187006678810178,-0.19400000000007367,0.03187006678810178,0.19400000000007367
1957,17,5,26.31481481481481,899.4140000000001,26.352349726775955,899.4999999999998,-0.03753491196114567,-0.08599999999967167,0.03753491196114567,0.08599999999967167
1958,17,5,25.75,655.0659999999999,25.78071038251366,655.29,-0.03071038251366076,-0.22400000000004638,0.03071038251366076,0.22400000000004638
1959,17,5,27.240740740740737,484.8859999999999,27.28,484.94,-0.03925925925926421,-0.05400000000008731,0.03925925925926421,0.05400000000008731
1960,17,5,26.564814814814813,528.828,26.582568306010927,528.96,-0.017753491196113913,-0.13200000000006185,0.017753491196113913,0.13200000000006185
1961,17,5,25.45370370370371,640.334,25.48830601092896,640.1500000000001,-0.03460230722524926,0.1839999999998554,0.03460230722524926,0.1839999999998554
1962,17,5,26.703703703703702,518.9219999999999,26.750710382513663,518.65,-0.04700667880996079,0.2719999999999345,0.04700667880996079,0.2719999999999345
1963,17,5,26.87037037037037,417.32200000000006,26.890601092896176,417.19,-0.020230722525806044,0.13200000000006185,0.020230722525806044,0.13200000000006185
1964,17,5,27.51851851851852,418.084,27.56890710382514,418.2399999999999,-0.050388585306620826,-0.15599999999989222,0.050388585306620826,0.15599999999989222
1965,17,5,26.916666666666668,581.406,26.94497267759564,581.5600000000001,-0.028306010928972114,-0.15400000000011005,0.028306010928972114,0.15400000000011005
1966,17,5,25.657407407407405,538.7339999999999,25.69934426229508,538.97,-0.041936854887676844,-0.23600000000010368,0.041936854887676844,0.23600000000010368
